title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories
Japanese Mum's Chicken,"We have a Japanese girl, Tomoko, living with us, and tonight she and I cooked a Japanese dinner for us and her friends. She phoned her mum,Toshiko, in Japan for this, as it's her favourite recipe, and I wanted to share it here. It's simple and so good, and Tomoko, who is only 16, did such a good job of cooking this, then translating the recipe to English for me.

*The liquid will thicken to a glaze if you are patient. It just takes a bit of time. If you feel your chicken is cooked (and going to overcook) remove it before going on to reduce the liquid. Same thing, if you must use breast meat, remove it (so it doesn't dry out) and continue reducing the liquid . If you do it this way rather than thickening with cornstarch you will get a richer glaze and not need to add stock or broth instead of the water. It just takes patience. AND NOTE: A glaze is sticky and coats the meat, this is NOT a sauce.",https://www.food.com/recipe/japanese-mums-chicken-68955,5m,40m,45m,4 serving(s),"8       chicken drumsticks, skin on  (the skin is important for flavour, and is so tasty to eat!) | 1   cup    water | 1/2  cup    balsamic vinegar | 1/3  cup    soy sauce | 2 1/2  tablespoons    sugar | 1       garlic clove, peeled and bruised | 1   small    hot chili pepper, slit open, seeds removed","Place all the ingredients in a saucepan over a high heat. | Bring to the boil, then reduce to a simmer for about 20 minutes. | Remove any scum that rises to the surface. | Increase the heat, turning the drumsticks frequently in the liquid, and cook until the liquid has reduced to a sticky glaze. | Arrange the chicken on a serving platter, remove the garlic clove and chili from the liquid, and spoon the glaze over. | NOTE It's a glaze rather than a sauce, so there's not a whole lot of it.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/68/95/5/TnfcMfTwRVulI0xETm67_jchicken.jpg",Chicken Thigh & Leg,All,"Chicken,Poultry,Meat,Japanese,Asian,Potluck,Spicy,Savory,< 60 Mins,Beginner Cook,Stove Top,Easy,Inexpensive",313.1
Jolean's Cheese Potato &amp; Smoked Sausage Casserole,"This was another one of our favorites in the 70's  Very inexpensive and very easy to make.  Just recently found this recipe hand-written by my Mom, and the warm feelings flood back to me, because this was a true favorite in our house.  Little did I know that she was on such a tight budget, yet made things like this that we all loved!!  NOTE:  The meat that was used in this recipe always varied, according to whatever we had available at the time.",https://www.food.com/recipe/joleans-cheese-potato-smoked-sausage-casserole-126623,20m,40m,1h,4-6 serving(s),"3   cups    idaho potatoes, peeled, boiled and cut into cubes when cool, approx. 1 lb | 4   tablespoons    butter | 4   tablespoons    flour | 2   cups    milk | 1/2  teaspoon    salt | 1/4  teaspoon    pepper | 1/2  lb    Velveeta cheese, diced | 1/2  cup    sharp cheddar cheese, shredded | 1   lb   skinless smoked sausage (Eckrich is my favorite brand) | 1/8  teaspoon    paprika","Cut skinless smoked sausage in half, lengthwise, and then chop into 1/2 inch &quot;half moon&quot; cuts.  Cook in a frying pan for about 15 minutes, turning frequently to SLIGHTLY brown. | Meanwhile, put cooked &amp; diced potatoes in 2 quart casserole.  Add cooked meat and give it a gentle toss. | Mix all remaining ingredients (except for shredded cheddar cheese &amp; the paprika) in a saucepan over medium heat until warm, melted and smooth.  (Use a whisk and stir constantly.). | Pour white/cheese sauce over potatoes and meat.  Sprinkle shredded sharp cheddar cheese on top, and then sprinkle paprika evenly over the top. | Bake in preheated 350&deg;F oven for 35-45 minutes (watch, until golden brown on top). | NOTE:  You can substitute:  1/2 lb. hot dogs, sliced into 1/2-inch slices OR 1/2 lb. ham diced into 1/2-inch dices OR 12 oz. can of Spam diced into 1/2-inch dices, instead of the smoked sausage.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/12/66/23/hbXbBzmQTHWGzuks3rrH_0S9A5405.jpg",One Dish Meal,All,"Pork,Potato,Vegetable,Meat,Kid Friendly,< 60 Mins,Oven,Beginner Cook,Easy",871.4
Olive Garden Copycat Zuppa Toscana,"This is a clone of the Olive Garden Zuppa Toscana. Tried and true, approved by former Olive Garden chefs.",https://www.food.com/recipe/olive-garden-copycat-zuppa-toscana-38298,20m,40m,1h,4-6 serving(s),"1   lb    Italian sausage (I like mild sausage) | 2   large    russet baking potatoes, wash, sliced in half, and then in 1/4 inch slices | 1   large    vidalia onion, chopped | 4   slices    cooked bacon, chopped | 1   teaspoon    Accent seasoning (optional) | 1/2  teaspoon    salt | 1/4  teaspoon    black pepper | 1/2  teaspoon    red pepper flakes | 2       garlic cloves, minced  or 1   tablespoon   of minced garlic from jar | 2   cups   packed in measuring cup kale or 2   cups    swiss chard, chopped | 2 (8   ounce) cans   chicken broth, add i envelope of chicken bouillon for extra flavor | 1   quart    water | 2   teaspoons    flour or 2   teaspoons    cornstarch, mixed with enough water to make a paste | 1   cup    heavy whipping cream (tempered)","Chop or slice uncooked sausage into small pieces and cook until browned and meat is ground in bottom of your soup pan over med-high heat. | Add onions, garlic, salt, pepper, and red pepper flakes to Sausage and cook until onions are clear and aromatics of the seasonings blend together. | Reduce heat back to medium and place, potatoes, in the pot. and slowly add the Chicken Stock and water and stir. (use Chicken Bouillon envelope for extra flavor is Chicken Stock is weak). | Cook on medium heat until potatoes are done and stir occasionally. Once Potatoes are done, Add flour or cornstarch and simmer for another 15 minutes. | Reduce heat to lowest setting and sprinkle in your kale and cooked bacon and slowly pour cream while stirring. | Check for taste and then serve.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/38/29/8/Z8MMxtVfQfCLy4zZJtZU_0S9A7184.jpg",Pork,All,"Potato,Vegetable,Meat,European,Weeknight,< 60 Mins,Stove Top",840.4
Angel Chicken Pasta,Make and share this Angel Chicken Pasta recipe from Food.com.,https://www.food.com/recipe/angel-chicken-pasta-62012,10m,1h 15m,1h 25m,4-6 serving(s),4 -6       boneless skinless chicken breasts | 1/4  cup    butter | 1 (2/3  ounce) package   Italian salad dressing mix | 1/2  cup    white wine | 1 (10 1/2  ounce) can   condensed golden mushroom soup | 4   ounces    cream cheese with chives | angel hair pasta,"Preheat oven to 325&deg;F. | In large saucepan melt butter. | Add dressing mix, wine and soup. | Mix in cream cheese and stir until smooth. | Place chicken in baking dish and cover with sauce. | Bake for 60 minutes. | Ten minutes before chicken is done cook pasta. | Serve chicken and sauce over pasta.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/62/01/2/sjENVyYTQyulQZ8kOZjq_pastadip-5.jpg",Chicken Breast,All,"Chicken,Poultry,Meat,Weeknight,Oven,< 4 Hours",316.6
Chinese Fried Rice,"This Chinese fried rice has the flavor those other recipes are missing. Tastes like takeout. I want to dedicate this dish to Bergy, whose recipe &quot;AM &amp; B's Indonesian Mehoon&quot; has inspired this dish. Make sure you season your rice with salt before it cooks. Add some butter to the cooking water, as well. Other seasonings should be added before you cook, as well, so it has time to get inside the rice. If you like sesame flavor, add 1 tsp. of it after you add the green onions, but do not use it as a cooking oil because it easily burns.",https://www.food.com/recipe/chinese-fried-rice-38748,10m,18m,28m,4 serving(s),"3/4  cup   finely chopped onion | 2 1/2  tablespoons    oil | 1       egg, lightly beaten  (or more eggs if you like) | 3   drops    soy sauce | 3   drops    sesame oil | 8   ounces   cooked lean boneless pork or 8   ounces    chicken, chopped | 1/2  cup   finely chopped carrot (very small) | 1/2  cup    frozen peas, thawed | 4   cups   cold cooked rice, grains separated  (preferably medium grain) | 4       green onions, chopped | 2   cups    bean sprouts | 2   tablespoons    light soy sauce (add more if you like)","Heat 1 tbsp oil in wok; add chopped onions and stir-fry until onions turn a nice brown color, about 8-10 minutes; remove from wok. | Allow wok to cool slightly. | Mix egg with 3 drops of soy and 3 drops of sesame oil; set aside. | Add 1/2 tbsp oil to wok, swirling to coat surfaces; add egg mixture; working quickly, swirl egg until egg sets against wok; when egg puffs, flip egg and cook other side briefly; remove from wok, and chop into small pieces. | Heat 1 tbsp oil in wok; add selected meat to wok, along with carrots, peas, and cooked onion; stir-fry for 2 minutes. | Add rice, green onions, and bean sprouts, tossing to mix well; stir-fry for 3 minutes. | Add 2 tbsp of light soy sauce and chopped egg to rice mixture and fold in; stir-fry for 1 minute more; serve. | Set out additional soy sauce on the table, if desired.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/38/74/8/TCTWMVk2RVmMC8K039qk_0S9A2600.jpg",Chicken,All,"Pork,Poultry,Rice,Meat,Chinese,Asian,Low Cholesterol,Healthy,Kid Friendly,< 30 Mins,Stir Fry,Easy,Inexpensive",497.8
"Easy, Creamy Hamburger Stroganoff",This easy version of stroganoff is so delicious. I have people beg me to make it for them when they come over for dinner. Hope you enjoy it!,https://www.food.com/recipe/easy-creamy-hamburger-stroganoff-36784,5m,10m,15m,4-6 serving(s),"1   lb    hamburger | 1       onion, diced | 1       garlic clove, minced | 1 (10 1/2  ounce) can   cream of mushroom soup | 1   cup    sour cream | 2   teaspoons    dry mustard | 4   tablespoons    milk | salt | pepper","Brown hamburger in large skillet with onion and garlic. | Drain out fat and add soup, sour cream, mustard and milk. | Simmer for 5 minutes. | Add salt and pepper for taste, and serve with egg noodles or rice.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/36/78/4/xBMfLf5lQRuCtb7Hublv_DSC_0083.JPG",Meat,All,"< 15 Mins,Stove Top,Easy",417.6
Sweet and Sour Chicken,Make and share this Sweet and Sour Chicken recipe from Food.com.,https://www.food.com/recipe/sweet-and-sour-chicken-25487,40m,1h,1h 40m,4 serving(s),"3   tablespoons    soy sauce | 1   tablespoon    sherry wine | 1       egg | 1/4  teaspoon    pepper | 1/4  teaspoon    garlic powder | 1/4  cup    cornstarch | 1   lb    boneless skinless chicken breast, cut into 1-inch pieces | 2   cups    vegetable oil | 1 (15   ounce) can   pineapple chunks, undrained | 2   tablespoons    cornstarch | 1/2  cup    sugar | 1/4  cup    catsup | 1/4  cup    vinegar | 1   tablespoon    soy sauce | 1   medium    green pepper, cut into 1-inch pieces | hot cooked rice","Mix together first 6 ingredients. | Add chicken; coat well. | Heat oil in electric skillet to 375 degrees. | Fry chicken until lightly browned. | Removed chicken; drain. | Drain pineapple, reserving liquid. | Add enough water to juice to make 1 cup. | Add 2 T. cornstarch, mixing well. | Combine pineapple juice mixture and next 4 ingredients in a medium saucepan. | Bring mixture to a boil. | Stir green pepper and chicken into sauce; cook until thoroughly heated. | Serve over rice.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/25/48/7/NnbkR9iSTGF5TrsNpleK_sweet-sour-chicken-1690.jpg",Chicken,All,"Pineapple,Poultry,Tropical Fruits,Fruit,Meat,Chinese,Asian,Kid Friendly,Weeknight,< 4 Hours",1367.4
Lemon Pepper Chicken Breasts on a Bed of Rice,"A simple great tasting recipe that makes enough to feed the family. It has a wonderful robust flavor, but not too overpowering. This dish also makes good leftovers. Try it out and see for yourself!",https://www.food.com/recipe/lemon-pepper-chicken-breasts-on-a-bed-of-rice-95312,15m,1h,1h 15m,4-6 serving(s),"1   cup    long grain white rice | 14   ounces    chicken broth | 5   tablespoons   mccormick california style lemon pepper | 1/2  cup   of melted margarine | 4       boneless skinless chicken breasts, thin sliced or tenderloins only","Preheat oven to 350. | Sprinkle lemon pepper on both sides of breasts. Sprinkle the lemon pepper to your own taste. | Using a non-greased 9&quot;x13&quot; glass baking dish place the chicken, and melted margarine (or butter) inside.  Cover. | Bake for 30 Minutes. | Remove from oven.  Remove chicken and set aside. Add one cup of long grain white rice, one can of chicken broth (or equal amount of bouillion).  Stir together and cover tightly with foil. | Put pan back in the oven. | Bake 30 Minutes. | Remove from oven, and place chicken back inside. | Cook for another 15 minutes. | This update to the recipe (11/19/13) brings it back to its roots and eliminates the problems people were having with under cooked rice/overcooked chicken.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/95/31/2/JlGbeLjhR46bdLR8nwlN_lemon-pepper-chicken-rice-01123.jpg",One Dish Meal,All,"Chicken Breast,Chicken,Long Grain Rice,Poultry,Rice,Meat,Free Of...,Oven,< 4 Hours,Easy",523.2
Chicken-Macaroni Casserole,Make and share this Chicken-Macaroni Casserole recipe from Food.com.,https://www.food.com/recipe/chicken-macaroni-casserole-351655,30m,30m,1h,8 serving(s),"1/2  cup   chopped onion | 3   tablespoons    butter or 3   tablespoons    margarine, melted | 2 (10 3/4  ounce) cans   cream of chicken soup | 2   cups   shredded cheddar cheese, divided | 1   cup    milk | 3 1/2  cups   chopped cooked chicken | 2 1/2  cups    cooked macaroni | salt | pepper | 1/4  cup    Ritz cracker crumbs","In a large skillet over med-high heat, saute onions in butter until onions are tender. | Add in soup and 1 &frac12; cups cheese; gradually stir in milk. | Cook over medium heat until cheese melts; stir in chicken and macaroni; taste and adjust seasoning with salt and pepper. | Transfer mixture to a greased 2 &frac12; quart casserole; sprinkle with cracker crumbs. | Bake in a preheated 350&deg; oven for 30 minutes or until heated through. | Top with remaining &frac12; cup cheese and bake 5 minutes.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/35/16/55/2ayEpndxRBOZggIbpvok_0S9A5523.jpg",< 60 Mins,All,,412.6
Asian Noodle Bowl,"This is the perfect dish to change things up a bit, while still using familiar ingredients that can be found almost anywhere.",https://www.food.com/recipe/asian-noodle-bowl-451000,5m,10m,15m,6 serving(s),"1/4  cup    sliced almonds | 12   ounces    whole wheat spaghetti | 2   cups    broccoli, tops cut into florets, stems peeled and sliced thinly | 2   cups    snow peas, trimmed | 1       red bell pepper, cut into 1 inch pieces | 1/2  cup    almond butter | 1/4  cup    reduced sodium soy sauce | 3   tablespoons    fresh lime juice | 2   tablespoons    brown sugar | 1   tablespoon    chili-garlic sauce, such as Sriracha | 1       scallion, green part only","Bring a large pot of water to a boil. Toast the almonds in a dry skillet over a medium-heat heat, stirring frequently, until they are golden, about 3 minutes. | Cook the pasta according to the directions on the package. Three minutes before the pasta is ready add the broccoli to the pasta pot. One minute before it is ready add the snow peas and red peppers to the pot. | While the pasta is cooking, make the sauce. Place the almond butter, soy sauce, lime juice, brown sugar, chili-garlic sauce and three tablespoon of boiling water (from the pasta pot) into a large bowl and whisk until smooth. | Drain the noodles and vegetables, return them to the pasta pot, add the sauce and toss to coat. Serve garnished with the toasted almonds and scallion greens.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/45/10/00/picmU7XVF.jpg",One Dish Meal,All,"Spaghetti,Peppers,Vegetable,Asian,Weeknight,< 15 Mins,Easy",409.9
Ground Beef Stuffed Green Bell Peppers With Cheese,We had these not too long ago and we both decided that they needed a little more seasoning. We put a little hot pepper sauce on them and they were much better. I would probably include 2 teaspoons in the meat mix the next time that I make them.,https://www.food.com/recipe/ground-beef-stuffed-green-bell-peppers-with-cheese-1356,15m,35m,50m,"6 peppers, 3 serving(s)","6   large    green peppers | 1   lb    beef, Ground | 1/2  cup    onion, Chopped | 1 (16   ounce) can   tomatoes, diced | 1/2  cup    long grain rice, any available rice is fine it may affect cooking time though | 1   cup    water | 1   teaspoon    salt | 1   teaspoon    Worcestershire sauce | 1   cup    cheddar cheese, Shredded  (about 4 ounces)","Cut off the tops of green peppers; discard seeds and membranes. | Chop enough of the tops to make 1/4 cup, set aside. | Cook the whole green peppers, uncovered in boiling water for about 5 minutes; invert to drain well. | Sprinkle insides of the peppers lightly with salt. | In a skillet cook ground beef, onion and 1/4 cup chopped pepper till meat is browned and vegetables are tender. | Drain off excess fat. Add drained tomatoes, salt, Worcestershire, and a dash of pepper. | in a separate pot put water bring to boil add rice cook until rice is soft. if needed add more water. | add rice to beef mixture. | Stir in cheese. Stuff peppers with meat mixture. Place in a 10x6x2 baking dish. | Bake, covered in a 350 degree oven for      30    minutes. in the last 5 minutes add any remaining cheese to the top of the peppers.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/13/56/skXTuUHHQ1mExOEcczaT_stuffedpeppers3.jpg",Long Grain Rice,All,"Rice,Cheese,Vegetable,Meat,< 60 Mins,Oven",1389.5
Scalloped Potatoes,"Here's a great scalloped potato recipe that's so easy and absolutely delicious. The leftovers are just as good, maybe even better, the next day. This is one of my favorite and most prepared recipes, from my 1971 Florence Junior Welfare League cookbook.",https://www.food.com/recipe/scalloped-potatoes-85629,15m,1h,1h 15m,6 serving(s),"4   cups   thinly sliced potatoes | 3   tablespoons    butter | 3   tablespoons    flour | 1 1/2  cups    milk | 1   teaspoon    salt | 1   dash    cayenne pepper | 1   cup   grated sharp cheddar cheese | 1/2  cup   grated cheese, to sprinkle on top | paprika","In a small sauce pan, melt butter and blend in flour. | Let sit for a minute. | Add all of cold milk, stirring with a whisk. | Season with salt and cayenne. | Cook sauce on low until smooth and boiling, stirring occasionally with a whisk. | Reduce heat and stir in cheese. | Place a half of the sliced potatoes in a lightly greased one quart casserole dish. | Pour half of cheese sauce over potatoes. | Repeat with second layer of potatoes and cheese sauce. | Sprinkle the remaining cheese on top. | Top with some paprika for color. | Bake uncovered for about 1 hour at 350&deg;F.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/85/62/9/ALhTKCBsRHu6JnlXk8Qy_0S9A3426.jpg",Potato,All,"Vegetable,Oven,< 4 Hours",288.3
Best Ever Bruschetta,I went through a major bruschetta phase and tried many many recipes until I found the perfect one. This was originally Guy Fieri's but is slightly adapted to my taste after making it about a billion times. Cookingt time is marinating time.,https://www.food.com/recipe/best-ever-bruschetta-443987,10m,15m,25m,4-6 serving(s),"1       baguette, cut in half length-wise and toasted | 2   teaspoons   minced garlic (I use the kind in a jar) | 3   tablespoons   extra-virgin olive oil | 1/4  cup   grated parmesan cheese | 2 1/2  cups   minced roma tomatoes (cut so fine its almost a paste) | 1/3  cup   thinly sliced fresh basil leaf | 2   tablespoons    balsamic vinegar | 1/2  teaspoon    salt | 1   teaspoon    fresh ground pepper","In a medium mixing bowl, add the tomatoes, garlic, basil, vinegar, olive oil, cheese, salt and pepper. | Mix thoroughly and let sit for at least 15 minutes at room temperature to let the flavors marinate. | Slice the bread into individual pieces and spoon the mixture on top.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/44/39/87/ncBmKBnmRbCtu4iOlIG0_easy-bruschetta-9766.jpg",Cheese,All,"Vegetable,European,Egg Free,Free Of...,Summer,Weeknight,< 30 Mins,Beginner Cook,Easy,Inexpensive",887.9
Panera Broccoli Cheese Soup,Make and share this Panera Broccoli Cheese Soup recipe from Food.com.,https://www.food.com/recipe/panera-broccoli-cheese-soup-150384,30m,40m,1h 10m,4 serving(s),"1   tablespoon   melted butter | 1/2  medium   chopped onion | 1/4  cup   melted butter | 1/4  cup    flour | 2   cups    half-and-half cream | 2   cups    chicken stock | 1/2  lb    fresh broccoli (chopped into bite size pieces) | 1   cup    carrot, julienned, grated | 1/4  teaspoon    nutmeg | 8   ounces   grated sharp cheddar cheese | salt and pepper | crusty bread or   bread bowl | 2   cups    whole milk","Saut&eacute; onion in butter. Set aside. | Cook melted butter and flour using a whisk over medium heat for 3-5 minutes or until you see a noticeable golden brown color in your pan. | Slowly add in the chicken stock and whisk again to combine. Simmer contents covered (stirring occasionally) for 20 minutes on medium heat. | Add the broccoli, carrots and the sauteed onions, into the pot. Stir, add the milk and half &amp; half. Cook covered over low heat 20-25 minutes but do not bring to a boil. This may cause the milk to curdle. | Add salt, pepper &amp; nutmeg. Note: you can pur&eacute;e half of your soup in a blender or with a handheld immersion blender if you choose however it isn't a requirement. Continue to cook the soup on low heat and slowly add the grated cheese a handful at a time and stir to avoid clumps. Once all the cheese has been added is melted, remove from heat, and serve immediately. Suggestion: serve with crusty bread or in a breadbowl. | Refrigerate leftovers after they have cooled and store in a airtight container up to 5 days in the refrigerator.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/15/03/84/CsokZG1NTuqBSLb2lOcf_copycat-panera-cheesy-broccoli-soup-3266.jpg",Cheese,All,"< 4 Hours,Easy",702.6
Yakisoba,"This is a dish that is popular in Japan and usually sold as street food. This version is made with pork, although you could easily substitute chicken or tofu.",https://www.food.com/recipe/yakisoba-82262,15m,35m,50m,4 serving(s),"1   lb    lean pork loin, sliced thinly  (against the grain) | 1/3  cup    soy sauce | 1/3  cup    rice wine | 1 1/2  tablespoons    sugar | 12   ounces    Chinese wheat noodles (udon noodles may be substituted) | 3   tablespoons    vegetable oil | 1       onion, sliced thin | 1   lb    napa cabbage or 1   lb    savoy cabbage, sliced very thin | 3       carrots, grated | 1   tablespoon   chopped ginger | 2       scallions, thinly sliced  (optional)","In a small bowl, mix together soy sauce, rice wine, and sugar, stirring to dissolve. | Cook noodles in boiling water about 8 minutes, or until tender. | Drain noodles and rinse under cold water. | In a large deep skillet or wok, cook onion in oil for about 3 minutes. | Add the cabbage, carrot and ginger and cook until cabbage is softened, about 3-5 minutes. | Add the pork and cook for 2 minutes more. | Cover the mixture with noodles and pour the sauce over all. | Cover and cook for 3-5 minutes, the remove the lid and toss the mixture together until it is well combined. | Place on a serving platter and garnish with chopped scallions, if desired.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/82/26/2/naTqLAhTTQCC5YwGVPQi_DSC05318-2.jpg",One Dish Meal,All,"Spaghetti,Pork,Vegetable,Meat,Japanese,Asian,Savory,< 60 Mins,Stir Fry",438.3
My Favorite King Ranch Chicken,"I adopted this recipe from Recipezaar in September 2006.  It was originally submitted by Moxie, but she is no longer a member of Recipezaar.  I've been making Moxie's recipe for several years now and I'm proud to give it a home.  The only change I make is that I use two cans of cream of chicken soup and omit the can of cream of mushroom soup, because my kids dislike mushrooms.  This casserole is a church potluck staple here in Texas and there are as many versions of this dish as there are armadillos in Texas.  However, this is the best King Ranch Chicken recipe that I've found! This casserole also freezes well.",https://www.food.com/recipe/my-favorite-king-ranch-chicken-54086,40m,45m,1h 25m,6-8 serving(s),"6 -8       chicken breasts | salt & pepper | 1 (10 1/2  ounce) can   cream of mushroom soup | 1 (10 1/2  ounce) can   cream of chicken soup | 1   small    onion, diced | 1 (10   ounce) can   diced tomatoes with green chilies, drained | 1 (8   ounce) jar   Cheez Whiz | 1 (11   ounce) bag  cheesy plain Doritos or 1 (11   ounce) bag  other corn chips, crushed | 8   ounces   grated cheddar cheese | 4   ounces   grated mozzarella cheese | paprika, to garnish","Steam or boil the chicken breasts until cooked through (I use my steamer and find it makes the chicken perfectly moist and tender). | When cool, dice into bite-size pieces. | In a large saucepan over medium heat, mix the soups, onion, Ro-tel tomatoes and Cheez Whiz until blended. | Preheat oven to 350 degrees Farenheit. | Layer the bottom of a greased 9x12 casserole dish with crushed chips. | Next, layer half the chicken pieces. | Top with half the sauce. | Sprinkle with half the cheddar cheese. | Repeat the layers, but top with the Cheddar and Mozzarella. | Sprinkle paprika over the top to garnish. | Bake for 30-45 minutes, or until hot and bubbly.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/54/08/6/VzvvVi7WTWm3g21zAJMo_DSC_0743.JPG",Chicken,All,"Poultry,Meat,Potluck,Weeknight,Oven,< 4 Hours",929.3
Crock Pot Chicken &aacute; La Antoinette,I use the slow cooker during the summer for this recipe. I just set it on low and leave it all day while I am at work.,https://www.food.com/recipe/crock-pot-chicken-la-antoinette-4981,10m,2h,2h 10m,8 serving(s),"8       boneless chicken breasts | 2   tablespoons    olive oil | 1      whole onion, chopped | 2   cups    mushrooms, sliced | 1 (10 3/4  ounce) can   tomato bisque | 1 (10 3/4  ounce) can   cream of mushroom soup | 1   cup    red wine (beer will work too) | 1   pinch    oregano | 1   pinch    basil | 1   pinch    salt | 1   pinch    pepper",Saute onions and mushrooms in olive oil. | Add chicken. | Combine remaining ingredients and pour over chicken mixture. Slow cook on top of stove  for 1 1/2  to 2 hours. (You can also combine ingredients in the Crock Pot and cook on low for up to 12 hours). | Serve over Rice or Pasta.,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/49/81/BhQJFIgQbWIlhRHn9Fow_0S9A5564.jpg",Chicken Breast,All,"Chicken,Poultry,Meat,< 4 Hours",382.6
Bev's Spaghetti Sauce,This is a recipe I have developed over a number of years. This is the only spaghetti sauce my family will request! Very easy to make. I hope your family enjoys it as much as mine does!,https://www.food.com/recipe/bevs-spaghetti-sauce-26217,15m,1h 30m,1h 45m,4-6 serving(s),"1 1/2  lbs    ground beef | 2   tablespoons    olive oil | 1   medium    onion, chopped | 2   cloves    garlic, minced  (to taste) | 2       bay leaves | 1   teaspoon    oregano | 1   teaspoon    dried basil | 1   teaspoon    italian seasoning | 1   teaspoon    salt (, or to taste) | ground pepper | 1 (6   ounce) can   tomato paste | 2 (16   ounce) cans   tomato sauce | 1 (28   ounce) can   diced tomatoes | 8   ounces    fresh mushrooms, sliced and sauteed in butter  (optional) | parmesan cheese, freshly grated  (optional)","Brown the ground beef, onion and garlic in olive oil with bay leaves, oregano, basil, Italian Seasoning, salt and pepper. | Add tomato paste, tomato sauce and diced tomatoes. | Stir well and bring to a simmer over medium heat. | Cover and simmer for 1 1/2 hours. | Use sauce to top your cooked spaghetti. | Top with sauteed mushroom. | Pass the Parmesan.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/26/21/7/ZF3VGfKMT8Wyf0Cve4bD_untitled-0860.jpg",Sauces,All,"Vegetable,Stove Top,< 4 Hours",565.1
Crusty French Bread,This recipe produces two crusty and chewy loaves that are so very good and so much better than store bought.,https://www.food.com/recipe/crusty-french-bread-101476,20m,30m,50m,2 loaves,2   cups    warm water | 1   tablespoon    yeast | 1   tablespoon    vegetable oil | 1   tablespoon    sugar | 2   teaspoons    salt | 5 -5 1/2  cups    bread flour,"Dissolve yeast in warm water (110 degrees) and sugar in large bowl; allow yeast to proof or foam (about 10 minutes). | Add salt, oil, and 3 cups flour; beat for 2 minutes. | Stir in 2 cups flour to make a stiff dough. | Knead until smooth and elastic, about 10 minutes. | Place in oiled bowl, turn dough to coat all sides, cover and let rise until doubled. | Punch down and divide in half. | Shape dough into two long slender loaves. | Grease and sprinkle with cornmeal either a french bread pan or large cookie sheet. | Place loaves in pan and cut diagonal gashes on top of each loaf (I use scissors). | Cover and let rise until doubled. | Bake at 375 degrees for about 30 minutes. | Note:  You can sprinkle or spray water on the loaves during baking if you want a really crunchy crust.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/14/76/T9kb9tQwRqOsl5fVXPzW_newsize-2.jpg",Yeast Breads,All,"Breads,Low Cholesterol,Healthy,< 60 Mins",1241.5
